id,agent_id,customer_id,product_id,order_date,address,village_name,subdistrict_name,city_name,province_name,postal_code,is_cancelled
1,,6,1,2017-01-01,OGQTr3pXTW,55db4phNrf,zw7NHVFzWa,hlPZ7uOzum,DUM4JhAmEB,66177,FALSE
2,1,1,1,2017-10-27,PNkFkW8hsJ,PBvT1IbyUO,m8i5deKPHg,TjolQBM6xL,iPs088f6l3,22633,FALSE
3,1,1,5,2017-10-28,KVYDfRp39H,aglomLVsY8,tcrzoGts9K,YjRZaleJGc,j6Yw3rsCNm,55122,FALSE
4,1,2,2,2017-10-29,qgw1zDvrYB,GVBUJsvlQv,cqnvvwVpDt,yTS7CYpVrK,87AZZjVFJz,35457,FALSE
5,1,2,2,2017-10-30,nGKRrE7FYR,xWvKtded2d,GG1d8M0NVY,hmnO5mE7Cv,vzcmRoS87Y,51712,TRUE
6,,3,4,2017-10-31,001jruy2Ec,iNx5cAsC7x,ZleMXrJatR,ndnwhT2M5A,l3BPkVKoFG,34142,TRUE
7,,4,3,2017-11-01,P8aQSzN0mB,yHJG1m4gvD,MSKmpCIzwv,TBOFT5PZrk,AkUIW8h8ec,31999,TRUE
8,2,5,5,2017-11-02,fKAHqd9xty,jVySeygPD6,gdqducK10j,QkyansEyUC,tGbHphMu7i,10588,FALSE
9,2,5,2,2017-11-03,GcOUBdpRPP,M7J2Qlyjkb,S0Gb6qtgwL,8S6WznL5h6,XxSH1a3ZAd,83729,FALSE
10,2,1,4,2017-11-04,YS5KYPoVql,T99opyEBOR,QnhfUMK4Cs,kec6jIDXfJ,Ltu3zB1bRr,60891,FALSE
11,2,1,1,2017-11-05,dVhYfzGq9x,1xD8vxI8u2,8eenysYWix,WuiNuqUwM0,zOK5A5Hpos,88595,FALSE
12,3,1,5,2017-11-06,OGQTr3pXTW,55db4phNrf,zw7NHVFzWa,hlPZ7uOzum,DUM4JhAmEB,66177,FALSE
13,,1,4,2017-11-07,QDn5b0uVbx,BzNXzg2ANN,4iP2SqB0kB,a6Daj7bdA7,2gLjxkYiy0,98030,FALSE
14,,1,3,2017-11-08,UrzgWhmbfl,vttM1HYM3x,Qs62eOjdUT,6aAkjZb32u,UdBZj2NL7x,25303,FALSE
15,,1,2,2017-12-09,dVhYfzGq9x,1xD8vxI8u2,8eenysYWix,WuiNuqUwM0,zOK5A5Hpos,88595,FALSE
16,,1,1,2017-12-10,OGQTr3pXTW,55db4phNrf,zw7NHVFzWa,hlPZ7uOzum,DUM4JhAmEB,66177,FALSE
17,2,1,1,2017-12-11,QDn5b0uVbx,BzNXzg2ANN,4iP2SqB0kB,a6Daj7bdA7,2gLjxkYiy0,98030,FALSE
18,2,1,3,2017-12-12,UrzgWhmbfl,vttM1HYM3x,Qs62eOjdUT,6aAkjZb32u,UdBZj2NL7x,25303,FALSE
19,2,1,4,2017-12-13,OGQTr3pXTW,55db4phNrf,zw7NHVFzWa,hlPZ7uOzum,DUM4JhAmEB,66177,TRUE
20,,1,3,2017-12-14,QDn5b0uVbx,BzNXzg2ANN,4iP2SqB0kB,a6Daj7bdA7,2gLjxkYiy0,98030,TRUE
21,,1,5,2017-12-15,UrzgWhmbfl,vttM1HYM3x,Qs62eOjdUT,6aAkjZb32u,UdBZj2NL7x,25303,TRUE
22,2,5,5,2017-12-20,fKAHqd9xty,jVySeygPD6,gdqducK10j,QkyansEyUC,tGbHphMu7i,10588,FALSE
23,2,5,2,2017-12-21,GcOUBdpRPP,M7J2Qlyjkb,S0Gb6qtgwL,8S6WznL5h6,XxSH1a3ZAd,83729,FALSE
24,3,2,3,2018-01-01,qgw1zDvrYB,GVBUJsvlQv,cqnvvwVpDt,yTS7CYpVrK,87AZZjVFJz,35457,FALSE
25,,7,2,2018-01-01,QDn5b0uVbx,BzNXzg2ANN,4iP2SqB0kB,a6Daj7bdA7,2gLjxkYiy0,98030,TRUE
26,4,2,3,2018-01-02,qgw1zDvrYB,GVBUJsvlQv,cqnvvwVpDt,yTS7CYpVrK,87AZZjVFJz,35457,FALSE
27,5,2,3,2018-01-03,qgw1zDvrYB,GVBUJsvlQv,cqnvvwVpDt,yTS7CYpVrK,87AZZjVFJz,35457,FALSE
28,,2,3,2018-01-04,qgw1zDvrYB,GVBUJsvlQv,cqnvvwVpDt,yTS7CYpVrK,87AZZjVFJz,35457,FALSE
29,,2,3,2018-01-05,qgw1zDvrYB,GVBUJsvlQv,cqnvvwVpDt,yTS7CYpVrK,87AZZjVFJz,35457,FALSE
30,3,2,2,2018-01-06,qgw1zDvrYB,GVBUJsvlQv,cqnvvwVpDt,yTS7CYpVrK,87AZZjVFJz,35457,TRUE
31,3,2,1,2018-01-06,qgw1zDvrYB,GVBUJsvlQv,cqnvvwVpDt,yTS7CYpVrK,87AZZjVFJz,35457,FALSE
